intake_id,analysis_team,assigned_to,assigned_specialist,tester_completed_by,status,received_on,specialist_assigned_on,actual_start,delivered_on,actual_end,effort_level,project_flag,total_tat_days,assignment_tat_days,pre_work_tat_days,execution_tat_days,closure_tat_days,primary_employee,employee_id,employee_type,active_status,effort_score,project_score,team_median_tat,team_tat_score,complexity_weight_raw,complexity_weight,month,avg_concurrent_requests,employee_median_tat,relative_tat,effectiveness_score
REQ-10011,Team B,E009,E014,E009,Completed,2024-09-08,2024-09-10 07:43:35.751269,2024-09-12 22:30:19.017343,2024-09-21 01:52:46.434628,2024-09-29 11:11:33.264393000,Medium,0,21.466357226770832,2.321941565613426,2.6157785425231483,8.140595107465277,8.388042011168983,E009,E009,FTE,Active,2,0,13.013392610353009,3.0,5.0,4.782608695652174,2024-09,1.75,8.168770140862268,0.6277202560048388,13.333272484561638
REQ-10012,Team E,E016,E016,E016,Completed,2025-12-17,2025-12-17 11:16:41.600740,2025-12-19 15:13:42.809551,2025-12-28 15:56:12.010178,2025-12-29 13:50:00.076614000,Medium,0,12.576389775625,0.46992593449074077,2.164597324201389,9.029504636886573,0.9123618800462963,E016,E016,FTE,Active,2,0,5.667382061608796,0.75,2.75,2.4347826086956523,2025-12,1.7333333333333334,8.140595107465277,1.4363942679301933,2.9381138238276265
REQ-10013,Team C,E021,E024,E014,Completed,2024-12-27,2024-12-28 12:50:53.649608,2025-01-03 13:02:45.311999,2025-01-15 10:05:38.288540,2025-01-16 05:38:11.558241000,Low,0,20.23485599815972,1.5353431667592594,6.008236833229167,11.87700204329861,0.8142739548726852,E021,E021,FTE,Active,1,0,8.919905509016203,2.25,3.25,2.9565217391304346,2024-12,1.3888888888888888,8.552927192233795,0.9588584972776373,4.282467334747665
REQ-10014,Team H,E003,E003,E010,Completed,2025-12-06,2025-12-07 13:58:51.717195,2025-12-09 02:48:44.588332,2025-12-13 06:56:15.009303,2025-12-14 03:19:04.431081000,Medium,0,8.138245730104167,1.5825430230902777,1.5346397122337965,4.171879872349537,0.8491831224305556,E003,E003,FTE,Active,2,0,5.812891981689815,1.125,3.125,2.8260869565217392,2025-12,1.65,7.23879358712963,1.2452998627759297,3.7445145684561143
REQ-10015,Team G,E017,E017,E019,Completed,2025-09-03,2025-09-05 05:14:50.450137,2025-09-07 11:15:45.437845,2025-09-15 14:38:12.855130,2025-09-17 02:37:40.875993500,Medium,0,14.109500879554398,2.2186394691782407,2.2506364318055554,8.140595107465277,1.4996298711053242,E017,E017,FTE,Active,2,0,5.228315591921296,0.375,2.375,2.0434782608695654,2025-09,1.8235294117647058,8.315835871724538,1.5905382384670934,2.3428186892185408
REQ-10016,Team B,E002,E002,E005,Completed,2024-03-08,2024-03-09 19:36:18.869047,2024-03-11 15:06:08.085368,2024-04-01 13:45:27.585850,2024-04-01 18:33:27.585850000,Low,0,24.773235947337962,1.8168850584143517,1.8123751889004631,20.94397570002315,0.2,E002,E002,Shared Contractor,Active,1,0,13.013392610353009,3.0,4.0,3.739130434782609,2024-03,1.7333333333333334,8.045015769618056,0.6182104859587282,10.483742297316093
REQ-10017,Team C,E006,E006,E006,Completed,2024-02-07,2024-02-11 04:32:12.706719,2024-02-15 23:16:32.034925,2024-02-24 02:38:59.452210,2024-03-03 05:21:18.818552000,High,0,25.22313447398148,4.189035957395833,4.780779261643518,8.140595107465277,8.112724147476852,E006,E006,FTE,Active,3,0,8.919905509016203,2.25,5.25,5.043478260869565,2024-02,1.6842105263157894,7.964227698483796,0.892860097053,9.513561199831685
REQ-10018,Team C,E001,E001,E014,Completed,2024-11-14,2024-11-15 19:36:18.869047,2024-11-17 09:27:37.308774,2024-11-28 04:58:36.514048,2024-12-01 12:04:37.546655000,Medium,0,17.503212345543982,1.8168850584143517,1.577296756099537,10.813185246226851,3.2958452848032405,E001,E001,FTE,Active,2,0,8.919905509016203,2.25,4.25,4.0,2024-11,1.2142857142857142,8.140595107465277,0.9126324375562944,5.322123844456549
REQ-10019,Team H,E005,E005,E005,Completed,2024-12-07,2024-12-08 18:44:00.199026,2024-12-11 00:44:55.186734,2024-12-11 18:57:44.822863,2024-12-13 04:56:39.031815000,Medium,0,6.206007312673611,1.780557859097222,2.2506364318055554,0.7589078255671297,1.4159051962037037,E005,E005,Shared Contractor,Active,2,0,5.812891981689815,1.125,3.125,2.8260869565217392,2024-12,1.5833333333333333,7.106494622222222,1.2225402853875764,3.660114709218638
REQ-10020,Team A,E024,E024,E019,Completed,2025-11-10,2025-11-12 23:20:18.451599,2025-11-15 21:59:36.596925,2025-11-25 03:55:44.788394,2025-11-28 02:39:39.884416000,Low,1,18.11087829185185,2.9724357823958334,2.9439600153472223,9.247317030891203,2.9471654632175928,E024,E024,FTE,Active,1,4,6.8314159208854175,1.5,6.5,6.3478260869565215,2025-11,1.368421052631579,9.16785634474537,1.3420140789139843,6.472733030390209
REQ-10021,Team D,E023,E023,E023,Completed,2024-02-21,2024-02-23 16:26:23.176365,2024-02-25 05:37:53.657969,2024-03-02 08:49:49.784825,2024-03-03 14:00:18.409965000,Medium,0,11.583546411631945,2.6849904671875,1.5496583518981482,6.133288505277778,1.2156090872685186,E023,E023,Dedicated Contractor,Inactive,2,0,7.707467308356481,1.875,3.875,3.608695652173913,2024-02,1.5333333333333334,8.214409807175926,1.0657729028924734,5.191850269711348
REQ-10022,Team C,E018,E018,E009,Completed,2024-06-29,2024-07-01 20:14:53.575760,2024-07-04 08:44:30.819739,2024-07-09 18:17:21.140972,2024-07-11 13:15:36.511955000,Medium,1,12.552505925405093,2.8436756453703707,2.5205699534606483,5.397804643900463,1.790455682673611,E018,E018,Dedicated Contractor,Active,2,4,8.919905509016203,2.25,8.25,8.173913043478262,2024-06,1.8,8.140595107465277,0.9126324375562944,16.121543430624904
REQ-10023,Team F,E009,E009,E023,Completed,2024-08-17,2024-08-20 17:05:44.244082,2024-08-24 09:41:14.111987,2024-08-30 00:39:36.022032,2024-08-31 04:04:55.036897000,Low,1,14.17008144556713,3.7123176398379627,3.6913179155671294,5.6238646995949075,1.1425811905671297,E009,E009,FTE,Active,1,4,10.083046207471064,2.625,7.625,7.521739130434782,2024-08,1.75,8.168770140862268,0.8101490336134325,16.247681515524334
REQ-10024,Team D,E011,E011,E020,Completed,2024-03-25,2024-03-27 05:06:37.277649,2024-03-28 14:58:09.155742,2024-04-03 03:46:09.629211,2024-04-04 20:26:53.289269000,Low,1,10.852005662835648,2.212931454270833,1.410785626076389,5.533338813298611,1.694949769189815,E011,E011,FTE,Active,1,4,7.707467308356481,1.875,6.875,6.739130434782608,2024-03,1.875,7.933169563703704,1.0292835825722562,12.276373371893694
REQ-10025,Team B,E007,E007,E007,Completed,2025-12-10,2025-12-11 19:36:18.869047,2025-12-15 05:45:29.819759,2025-12-23 03:05:19.737414,2025-12-25 21:14:00.368645000,High,0,15.88472648894676,1.8168850584143517,3.4230434110185186,7.888772195081018,2.7560258244328706,E007,E007,Dedicated Contractor,Active,3,0,13.013392610353009,3.0,6.0,5.826086956521739,2025-12,1.631578947368421,7.888772195081018,0.6062041184252738,15.680726235399849
REQ-10026,Team D,E017,E017,E017,Completed,2024-02-29,2024-02-29 04:48:00.000000,2024-03-03 23:59:44.122843,2024-03-06 07:25:47.243372,2024-03-08 06:55:56.574053000,Low,1,8.288849236724536,0.2,3.799816236608796,2.3097583394560184,1.9792746606597222,E017,E017,FTE,Active,1,4,7.707467308356481,1.875,6.875,6.739130434782608,2024-02,1.8235294117647058,8.315835871724538,1.078932357287907,11.389965714287596
REQ-10027,Team E,E003,E003,E003,Completed,2025-10-10,2025-10-11 19:36:18.869047,2025-10-15 01:23:47.212833,2025-10-17 12:56:11.311340,2025-10-18 13:25:41.291687000,Medium,0,8.559505690821759,1.8168850584143517,3.241300275300926,2.4808344734606482,1.0204858836458335,E003,E003,FTE,Active,2,0,5.667382061608796,0.75,2.75,2.4347826086956523,2025-10,1.65,7.23879358712963,1.2772729116262822,3.1452881117103626
REQ-10028,Team E,E013,E013,E013,Completed,2025-10-17,2025-10-19 13:00:25.604628,2025-10-23 19:25:22.231960,2025-10-30 21:50:25.205472,2025-11-01 07:18:00.667907000,High,0,15.30417439707176,2.541963016527778,4.267322075601852,7.100728860092593,1.394160444849537,E013,E013,Shared Contractor,Active,3,0,5.667382061608796,0.75,3.75,3.4782608695652173,2025-10,1.6923076923076923,7.271221182193287,1.2829947060476121,4.587928225792398
REQ-10029,Team F,E013,E013,E013,Completed,2024-02-15,2024-02-17 03:25:08.277716,2024-02-22 00:26:46.898919,2024-03-04 23:27:11.039362,2024-03-06 15:09:50.418997000,Medium,1,20.631833553206018,2.1424569180092594,4.876141449108797,11.958612736608796,1.6546224494791666,E013,E013,Shared Contractor,Active,2,4,10.083046207471064,2.625,8.625,8.565217391304348,2024-02,1.6923076923076923,7.271221182193287,0.7211333789986655,20.100280613440855
REQ-10030,Team E,E002,E002,E002,Completed,2024-09-14,2024-09-16 03:10:31.930635,2024-09-17 06:49:34.999173,2024-09-25 10:12:02.416458,2024-09-28 12:43:49.021950000,Medium,1,14.530428494791666,2.1323140119791666,1.1521188488194445,8.140595107465277,3.1054005265277778,E002,E002,Shared Contractor,Active,2,4,5.667382061608796,0.75,6.75,6.608695652173913,2024-09,1.7333333333333334,8.045015769618056,1.419529455075122,8.069626468696212
REQ-10031,Team B,E006,E006,E017,Completed,2025-03-20,2025-03-21 20:29:51.723536,2025-03-24 09:22:24.599375,2025-04-09 20:39:17.571595,2025-04-13 00:03:43.105104000,Low,1,24.002582235000002,1.8540708742592593,2.536491618506944,16.470057548842593,3.1419621933912034,E006,E006,FTE,Active,1,4,13.013392610353009,3.0,8.0,7.913043478260869,2025-03,1.6842105263157894,7.964227698483796,0.6120024145085525,21.776435525966736
REQ-10032,Team C,E020,E020,E020,Completed,2024-11-26,2024-11-27 19:03:04.394332,2024-11-30 13:23:45.708136,2024-12-13 22:13:43.764036,2024-12-14 06:33:28.313071000,Low,0,18.273244364247685,1.793800860324074,2.7643670579166666,13.368033054398149,0.34704339160879627,E020,E020,Shared Contractor,Active,1,0,8.919905509016203,2.25,3.25,2.9565217391304346,2024-11,1.55,9.131754784027779,1.023750170312616,4.47629590552626
REQ-10033,Team C,E018,E018,E022,Completed,2025-03-09,2025-03-11 09:59:11.614907,2025-03-12 21:01:17.161621,2025-03-19 00:50:25.701182,2025-03-19 11:50:58.879307000,Low,0,10.493737029016204,2.416106654016204,1.4597864203009259,6.159126615289352,0.4587173394097222,E018,E018,Dedicated Contractor,Active,1,0,8.919905509016203,2.25,3.25,2.9565217391304346,2025-03,1.8,8.140595107465277,0.9126324375562944,5.831196560013262
REQ-10034,Team A,E011,E024,E003,Completed,2025-10-25,2025-10-26 16:30:14.856507,2025-10-28 13:52:46.373747,2025-11-06 10:05:58.382398,2025-11-08 12:38:37.315316000,Low,0,14.52682077912037,1.6876719503125,1.890642560648148,8.842500100127314,2.1060061680324074,E011,E011,FTE,Active,1,0,6.8314159208854175,1.5,2.5,2.1739130434782608,2025-10,1.875,7.933169563703704,1.1612774943844275,3.5100025413670832
REQ-10035,Team G,E014,E014,E014,Completed,2025-06-23,2025-06-23 15:07:32.007318,2025-06-23 22:19:32.007318,2025-06-28 19:28:10.240638,2025-06-29 22:05:06.470441000,Low,0,6.9202137782523145,0.6302315661805556,0.3,4.880998070833333,1.1089841412384258,E014,E014,Shared Contractor,Active,1,0,5.228315591921296,0.375,1.375,1.0,2025-06,1.7647058823529411,7.758753411741898,1.4839871991909959,1.1891651648444008
REQ-10036,Team C,E004,E004,E023,Completed,2025-01-21,2025-01-24 07:45:17.920276,2025-01-27 06:39:44.479160,2025-02-03 03:58:50.275959,2025-02-04 12:19:34.066530000,Low,0,14.513588732986111,3.323124077268518,2.9544740611574074,6.888261537025463,1.3477290575347223,E004,E004,Dedicated Contractor,Active,1,0,8.919905509016203,2.25,3.25,2.9565217391304346,2025-01,1.4666666666666666,8.764955488929399,0.9826287374983758,4.412889343229836
REQ-10037,Team C,E011,E011,E011,Completed,2024-03-04,2024-03-06 14:20:22.635267,2024-03-09 00:01:06.518399,2024-03-24 09:16:13.171480,2024-03-25 19:50:23.202952000,High,1,21.826657441574074,2.5974842044791666,2.403285684398148,15.385493669918983,1.4403938827777778,E011,E011,FTE,Active,3,4,8.919905509016203,2.25,9.25,9.217391304347826,2024-03,1.875,7.933169563703704,0.8893782064938792,19.432237679607585
REQ-10038,Team D,E001,E001,E001,Completed,2025-03-15,2025-03-17 10:31:34.388438,2025-03-17 17:43:34.388438,2025-03-25 12:58:06.504629,2025-03-26 01:43:01.064901000,Medium,0,11.071540103020833,2.4385924587731482,0.3,7.801760604062499,0.5311870401851853,E001,E001,FTE,Active,2,0,7.707467308356481,1.875,3.875,3.608695652173913,2025-03,1.2142857142857142,8.140595107465277,1.056195865876615,4.14883992563521
REQ-10039,Team F,E011,E011,E011,Completed,2024-12-06,2024-12-09 02:07:18.307791,2024-12-11 22:31:46.236361,2024-12-21 06:13:41.116511,2024-12-23 23:07:28.452436000,High,1,17.963523755046296,3.088406340173611,2.850323247337963,9.320774075810185,2.704020091724537,E011,E011,FTE,Active,3,4,10.083046207471064,2.625,9.625,9.608695652173912,2024-12,1.875,7.933169563703704,0.786783021764355,22.898694874508934
REQ-10040,Team F,E003,E003,E001,Completed,2024-04-28,2024-04-30 08:14:36.944416,2024-05-03 23:49:00.979756,2024-05-08 08:49:59.761562,2024-05-10 03:45:36.766275000,High,0,12.156675535590278,2.343483152962963,3.6488892979166665,4.3756803449768515,1.7886227397337964,E003,E003,FTE,Active,3,0,10.083046207471064,2.625,5.625,5.434782608695652,2024-04,1.65,7.23879358712963,0.7179173275796379,12.4908411593577
REQ-10041,Team C,E002,E002,E002,Completed,2025-01-26,2025-01-28 00:51:17.097821,2025-01-31 07:33:20.951674,2025-02-05 21:05:51.396768,2025-02-08 07:03:27.676234000,Low,1,13.294070326782407,2.035614558113426,3.279211271446759,5.564241262662037,2.415003234560185,E002,E002,Shared Contractor,Active,1,4,8.919905509016203,2.25,7.25,7.130434782608695,2025-01,1.7333333333333334,8.045015769618056,0.9019171516431634,13.703498450315513
REQ-10042,Team A,E022,E019,E022,Completed,2025-05-29,2025-06-01 10:36:37.109184,2025-06-03 14:06:22.375466,2025-06-10 20:22:21.906602,2025-06-11 14:11:01.670420000,Medium,0,13.590991555787038,3.4420961711111113,2.145662804189815,7.261105684444444,0.7421268960416667,E022,E022,FTE,Active,2,0,6.8314159208854175,1.5,3.5,3.217391304347826,2025-05,1.45,8.140595107465277,1.1916409719070622,3.9149521552941327
REQ-10043,Team D,E011,E011,E011,Completed,2025-03-07,2025-03-07 14:55:59.329215,2025-03-08 20:52:34.887628,2025-03-11 19:57:19.041733,2025-03-12 20:20:17.081920000,Medium,1,5.84741992962963,0.6222144585069445,1.2476337779282407,2.9616221539930554,1.0159495392013889,E011,E011,FTE,Active,2,4,7.707467308356481,1.875,7.875,7.782608695652174,2025-03,1.875,7.933169563703704,1.0292835825722562,14.177231184315945
REQ-10044,Team A,E010,E010,E021,Completed,2025-07-09,2025-07-10 04:04:59.089818,2025-07-12 02:43:06.660999,2025-07-18 03:00:38.916130,2025-07-19 05:58:53.062532000,Low,0,10.249225260787037,1.1701283543749998,1.9431431849652778,6.012178878831019,1.1237748426157408,E010,E010,Dedicated Contractor,Inactive,1,0,6.8314159208854175,1.5,2.5,2.1739130434782608,2025-07,1.5,8.140595107465277,1.1916409719070622,2.7364530442410055
REQ-10045,Team D,E003,E003,E011,Completed,2024-10-13,2024-10-15 14:57:21.938454,2024-10-17 22:13:10.479765,2024-10-22 01:20:32.614552,2024-10-22 12:28:36.769827000,Medium,0,9.519870021145833,2.6231705839583332,2.3026451540625,4.1301173007754635,0.463936982349537,E003,E003,FTE,Active,2,0,7.707467308356481,1.875,3.875,3.608695652173913,2024-10,1.65,7.23879358712963,0.9391922531129373,6.339860455994359
REQ-10046,Team D,E018,E018,E014,Completed,2025-04-22,2025-04-23 12:44:48.017136,2025-04-24 04:22:02.643215,2025-05-09 21:38:57.504217,2025-05-11 09:38:25.525080500,Low,1,19.401684318061342,1.5311113094444446,0.6508637277662037,15.72007940974537,1.4996298711053242,E018,E018,Dedicated Contractor,Active,1,4,7.707467308356481,1.875,6.875,6.739130434782608,2025-04,1.8,8.140595107465277,1.056195865876615,11.485023918873939
REQ-10047,Team E,E018,E018,E018,Completed,2025-01-12,2025-01-12 04:48:00.000000,2025-01-12 15:54:52.176203,2025-01-20 19:17:19.593488,2025-01-22 07:16:47.614351500,Low,1,10.303328869809027,0.2,0.46310389123842594,8.140595107465277,1.4996298711053242,E018,E018,Dedicated Contractor,Active,1,4,5.667382061608796,0.75,5.75,5.565217391304348,2025-01,1.8,8.140595107465277,1.4363942679301933,6.973984460953487
REQ-10048,Team A,E023,E023,E023,Completed,2024-07-01,2024-07-02 19:48:49.363466,2024-07-03 03:00:49.363466,2024-07-05 00:00:05.313402,2024-07-07 07:24:00.360005000,Medium,1,6.3083375000578705,1.8255713364120372,0.3,1.874490161296296,2.308276002349537,E023,E023,Dedicated Contractor,Inactive,2,4,6.8314159208854175,1.5,7.5,7.391304347826087,2024-07,1.5333333333333334,8.214409807175926,1.2024461549855772,9.425231463665225
REQ-10049,Team A,E014,E014,E014,Completed,2024-07-30,2024-07-30 04:48:00.000000,2024-08-03 20:53:36.531568,2024-08-07 03:30:19.412506,2024-08-07 23:49:56.382632000,Medium,0,8.99301368787037,0.2,4.670561707962963,3.275496307152778,0.8469556727546297,E014,E014,Shared Contractor,Active,2,0,6.8314159208854175,1.5,3.5,3.217391304347826,2024-07,1.7647058823529411,7.758753411741898,1.1357460154082213,4.999136500226291
REQ-10050,Team A,E010,E010,E010,Completed,2025-02-11,2025-02-12 18:43:21.527372,2025-02-15 10:43:59.048936,2025-02-22 06:06:14.384437,2025-02-22 16:19:26.507113000,Medium,1,11.680167906400463,1.7801102705092593,2.6671009440277778,6.807121938668982,0.4258347531944444,E010,E010,Dedicated Contractor,Inactive,2,4,6.8314159208854175,1.5,7.5,7.391304347826087,2025-02,1.5,8.140595107465277,1.1916409719070622,9.30394035041942
REQ-10051,Team E,E006,E006,E006,Completed,2025-10-20,2025-10-21 19:36:18.869047,2025-10-22 19:49:37.058860,2025-10-29 01:13:16.173141,2025-10-29 06:01:16.173141000,Medium,1,9.25088163357639,1.8168850584143517,1.0092383080208334,6.224758267141204,0.2,E006,E006,FTE,Active,2,4,5.667382061608796,0.75,6.75,6.608695652173913,2025-10,1.6842105263157894,7.964227698483796,1.4052745362685142,7.9204699831563286
REQ-10052,Team A,E013,E013,E013,Completed,2025-08-26,2025-08-29 04:53:36.747560,2025-08-30 17:02:40.180141,2025-09-01 03:29:59.699703,2025-09-01 20:29:59.718763000,High,0,6.854163411608796,3.2038975412037036,1.5062897289467592,1.4356425875231482,0.7083335539351852,E013,E013,Shared Contractor,Active,3,0,6.8314159208854175,1.5,4.5,4.260869565217391,2025-08,1.6923076923076923,7.271221182193287,1.0643798103352586,6.774557607275446
REQ-10053,Team G,E023,E023,E023,Completed,2025-04-22,2025-04-23 21:29:15.717720,2025-04-26 08:18:12.008631,2025-05-02 04:02:53.339866,2025-05-02 10:52:47.619442000,Low,0,10.453328928726853,1.8953208069444443,2.450651515173611,5.822700592997685,0.28465601361111115,E023,E023,Dedicated Contractor,Inactive,1,0,5.228315591921296,0.375,1.375,1.0,2025-04,1.5333333333333334,8.214409807175926,1.5711388615998414,0.9759375003759937
REQ-10054,Team C,E007,E007,E007,Completed,2024-02-24,2024-02-25 11:48:47.322719,2024-02-26 18:28:26.969597,2024-03-09 18:15:47.655437,2024-03-12 01:39:28.633182000,Medium,0,17.069081402569445,1.4922143833217594,1.277542209236111,11.991211641666668,2.3081131683449074,E007,E007,Dedicated Contractor,Active,2,0,8.919905509016203,2.25,4.25,4.0,2024-02,1.631578947368421,7.888772195081018,0.8844008702902828,7.379363825514534
REQ-10055,Team E,E009,E009,E013,Completed,2025-11-10,2025-11-12 14:50:37.081073,2025-11-15 00:08:27.293331,2025-11-21 08:17:56.311740,2025-11-22 16:12:14.925113000,High,1,12.675172744363426,2.618484734641204,2.387386715949074,6.339919194548611,1.329382099224537,E009,E009,FTE,Active,3,4,5.667382061608796,0.75,7.75,7.6521739130434785,2025-11,1.75,8.168770140862268,1.4413657050224358,9.290705544862151
REQ-10056,Team A,E005,E005,E013,Completed,2025-01-16,2025-01-16 04:48:00.000000,2025-01-16 14:27:10.318660,2025-01-27 14:29:26.732102,2025-01-29 08:35:34.109438000,Medium,1,13.358033674050926,0.2,0.4022027622685185,11.001578859282407,1.7542520525,E005,E005,Shared Contractor,Active,2,4,6.8314159208854175,1.5,7.5,7.391304347826087,2025-01,1.5833333333333333,7.106494622222222,1.040266718425944,11.249901917877958
REQ-10057,Team D,E003,E003,E003,Completed,2024-02-20,2024-02-24 09:32:41.681175,2024-02-26 15:33:36.668883,2024-03-02 15:41:50.637522,2024-03-02 22:29:22.191790000,Low,0,11.937062404976851,4.397704643229166,2.2506364318055554,5.005717229618056,0.2830041003240741,E003,E003,FTE,Active,1,0,7.707467308356481,1.875,2.875,2.5652173913043477,2024-02,1.65,7.23879358712963,0.9391922531129373,4.506647794020086
REQ-10058,Team B,E021,E021,E021,Completed,2025-12-12,2025-12-12 04:48:00.000000,2025-12-12 17:01:53.400204,2025-12-23 11:56:59.561952,2025-12-25 13:03:22.480056000,High,1,13.544010185833333,0.2,0.5096458356944444,10.788265760972221,2.0460985891666668,E021,E021,FTE,Active,3,4,13.013392610353009,3.0,10.0,10.0,2025-12,1.3888888888888888,8.552927192233795,0.6572403867558242,21.132129383352765
REQ-10059,Team B,E020,E020,E020,Completed,2025-08-26,2025-08-28 10:02:07.347432,2025-08-29 21:54:39.253450,2025-09-11 15:58:06.438556,2025-09-13 01:58:14.519366000,High,1,18.082112492662038,2.418140595277778,1.4948137270601851,12.752397975763888,1.416760194560185,E020,E020,Shared Contractor,Active,3,4,13.013392610353009,3.0,10.0,10.0,2025-08,1.55,9.131754784027779,0.7017197634353142,22.0885897870665
REQ-10060,Team C,E017,E017,E017,Completed,2024-04-20,2024-04-21 05:56:47.928974,2024-04-24 08:00:47.361650,2024-05-04 22:37:25.008655,2024-05-05 05:31:16.775426000,Medium,0,15.230055271134258,1.2477769557175926,3.086104544861111,10.60876906255787,0.2874047079976852,E017,E017,FTE,Active,2,0,8.919905509016203,2.25,4.25,4.0,2024-04,1.8235294117647058,8.315835871724538,0.9322784712594685,7.82396877319797
